day	time	size	price	sign
2	41091.813	100	508.86	-1
2	41091.828	97	508.89	1
2	41146.219	100	508.62	-1
2	41146.219	100	508.62	-1
2	41146.227	100	508.62	-1
2	41146.48	100	508.61	-1
2	41149.121	100	508.56	-1
2	41151.652	100	508.42	-1
2	41151.789	14	508	-1
2	41151.789	15	508.09	-1
2	41151.789	71	508	-1
2	41151.797	20	508	-1
2	41203.977	4	508	-1
2	41203.977	5	508	-1
2	41211.699	200	508.03	1
2	41220.953	14	508.19	1
2	41220.953	86	508.19	1
2	41220.953	14	508.26	1
2	41220.953	100	508.26	1
2	41220.953	14	508.35	1
2	41220.953	86	508.26	1
2	41220.957	12	508.39	1
2	41220.961	10	508.45	1
2	41220.961	10	508.46	1
2	41253.848	4	507.98	-1
2	41271.715	1	507.82	-1
2	41271.715	13	507.69	-1
2	41271.719	13	507.68	-1
2	41309.117	100	507.66	-1
2	41309.117	4	507.66	-1
2	41309.137	96	507.66	1
2	41327.68	5	507.695	1
2	41342.469	5	507.51	-1
2	41346.59	87	507.5	-1
2	41346.59	5	507.5	-1
2	41346.59	96	507.5	-1
2	41346.59	99	507.5	-1
2	41346.594	283	507.5	-1
2	41346.594	100	507.5	-1
2	41346.594	100	507.5	-1
2	41346.598	100	507.5	-1
2	41346.598	25	507.5	-1
2	41347.547	100	507.5	-1
2	41347.547	51	507.5	-1
2	41350.617	200	507.5	1
2	41366.656	100	507.7	1
2	41366.656	4	507.7	1
2	41366.656	100	507.85	1
2	41366.656	12	507.86	1
2	41366.656	13	507.87	1
2	41366.656	75	507.87	1
2	41366.656	13	507.88	1
2	41366.656	20	507.89	1
2	41366.656	20	507.92	1
2	41366.656	25	507.89	1
2	41398.34	100	507.65	-1
2	41424.738	200	507.66	1
2	41443.059	1	507.48	1
2	41446.602	22	507.31	-1
2	41446.602	25	507.27	-1
2	41446.602	53	507.26	-1
2	41446.602	11	507.23	-1
2	41446.602	20	507.26	-1
2	41446.602	4	507.23	-1
2	41446.602	4	507.25	-1
2	41446.602	100	507.22	-1
2	41467.359	100	507.18	1
2	41476.211	99	507.27	1
2	41476.523	100	507.33	1
2	41476.535	100	507.33	1
2	41476.555	13	507.49	1
2	41476.555	13	507.5	1
2	41476.555	13	507.51	1
2	41478.117	5	507.33	-1
2	41486.168	5	507.33	-1
2	41499.941	30	507.29	-1
2	41499.941	70	507.29	-1
2	41499.941	91	507.29	-1
2	41499.941	100	507.29	-1
2	41499.941	91	507.29	-1
2	41499.941	9	507.29	-1
2	41499.941	9	507.29	-1
2	41501.676	99	507.35	1
2	41501.68	1	507.35	1
2	41501.684	15	507.5	1
2	41501.684	85	507.5	1
2	41501.684	85	507.5	1
2	41501.691	3	507.59	1
2	41501.785	100	507.65	1
2	41521.754	10	507.94	1
2	41524.484	90	507.94	1
2	41524.496	17	508	1
2	41530.383	100	507.75	1
2	41530.383	149	507.91	1
2	41530.387	51	507.91	1
2	41530.402	100	507.92	1
2	41532.438	99	508.02	-1
2	41532.496	100	508.19	1
2	41533.68	100	508.2	1
2	41536.102	100	508.23	1
2	41537.105	8	508.24	1
2	41553.723	100	508.03	-1
2	41553.723	100	508.03	-1
2	41561.246	100	508.18	1
2	41561.254	100	508.18	1
2	41565.973	100	508.02	1
2	41565.973	100	508.02	1
2	41567.234	100	507.88	-1
2	41573.379	100	507.87	-1
2	41573.379	100	507.87	-1
2	41573.379	200	507.87	-1
2	41573.379	4	507.74	-1
2	41573.383	10	507.72	-1
2	41597.086	4	507.38	-1
2	41597.086	4	507.39	-1
2	41597.09	100	507.33	-1
2	41597.09	100	507.31	-1
2	41597.09	10	507.3	-1
2	41597.102	10	507.25	-1
2	41597.105	41	507.16	-1
2	41597.191	4	507.25	-1
2	41597.32	4	507.25	-1
2	41597.367	4	507.25	-1
2	41597.379	4	507.25	-1
2	41597.383	4	507.25	-1
2	41597.395	4	507.25	-1
2	41597.395	4	507.24	-1
2	41604.164	34	507.16	-1
2	41604.164	4	507.16	-1
2	41604.164	44	507.15	-1
2	41604.164	16	507.15	-1
2	41604.168	10	507.13	-1
2	41604.168	40	507.15	-1
2	41604.168	4	507.14	-1
2	41604.168	4	507.15	-1
2	41617.008	98	507	-1
2	41617.008	2	507	-1
2	41617.012	10	506.9	-1
2	41623.043	100	506.73	1
2	41623.043	6	506.73	1
2	41627.355	100	506.85	-1
2	41660.988	100	506.56	-1
2	41660.988	1	506.62	-1
2	41660.988	4	506.57	-1
2	41660.988	4	506.58	-1
2	41660.988	4	506.59	-1
2	41660.988	6	506.58	-1
